Wall time,Step,Value
1613354703.3858628,2048,5.0
1613354876.4173198,4096,7.0
1613355043.6802924,6144,8.0
1613355730.1113763,8192,5.0
1613355893.7892482,10240,6.0
1613356060.700589,12288,7.0
1613356214.2537484,14336,7.0
1613356367.043027,16384,7.0
1613356517.5675647,18432,8.0
1613358491.515626,20480,4.0
1613365144.3625734,22528,2.0
1613365311.0127435,24576,2.0
1613365479.5951033,26624,2.0
1613365692.7182994,28672,2.0
1613365862.1394005,30720,2.0
1613366044.9864843,32768,2.0
1613366230.7278259,34816,2.0
1613366397.4531898,36864,3.0
1613366585.0208182,38912,3.0
1613366750.5637906,40960,3.0
1613366919.4556146,43008,3.0
1613367080.468332,45056,3.0
1613367242.5066965,47104,3.0
1613367401.829042,49152,3.0
1613367564.1714144,51200,3.0
1613367733.150538,53248,3.0
1613367906.3426058,55296,4.0
1613368089.0475063,57344,4.0
1613368266.8186438,59392,4.0
1613368466.4614418,61440,4.0
1613368656.7694116,63488,4.0
1613368856.373811,65536,4.0
1613369044.6876621,67584,4.0
1613369224.7079527,69632,4.0
1613369395.3969326,71680,4.0
1613369571.5877502,73728,4.0
1613369753.1830761,75776,4.0
1613369953.9127145,77824,4.0
1613370168.2136023,79872,5.0
1613370351.9144566,81920,5.0
1613370539.099469,83968,5.0
1613370740.6254911,86016,5.0
1613370912.552368,88064,5.0
1613371096.2965314,90112,5.0
1613371279.939865,92160,5.0
1613371496.625351,94208,5.0
1613371743.1758165,96256,5.0
1613371934.5120077,98304,5.0
1613372123.0281205,100352,5.0
1613372353.952203,102400,5.0
1613372590.2534642,104448,5.0
1613372815.114348,106496,5.0
1613373028.769717,108544,5.0
1613373221.2393467,110592,5.0
1613373428.4685884,112640,5.0
1613373649.3782253,114688,5.0
1613373834.1213465,116736,5.0
1613374066.9293444,118784,6.0
1613374253.6330523,120832,6.0
1613374471.0097725,122880,6.0
1613374666.126001,124928,6.0
1613374859.1316047,126976,6.0
1613375104.3650725,129024,6.0
1613375329.9110336,131072,6.0
1613375562.7935212,133120,6.0
1613375782.783211,135168,6.0
1613375985.6862156,137216,6.0
1613376204.369489,139264,6.0
1613376458.972874,141312,6.0
1613376718.4701893,143360,6.0
1613376992.658548,145408,6.0
1613377244.1995077,147456,6.0
1613377495.1941075,149504,6.0
1613377790.2039087,151552,6.0
1613378060.6181357,153600,6.0
1613378299.8945029,155648,6.0
1613378534.298896,157696,6.0
1613378841.5095038,159744,6.0
1613379127.960303,161792,6.0
1613379401.7852306,163840,6.0
1613379626.6890101,165888,6.0
1613379875.3261116,167936,6.0
1613380150.6532502,169984,6.0
1613380395.3836522,172032,6.0
1613380687.1433253,174080,6.0
1613380989.7508624,176128,6.0
1613381402.2931852,178176,6.0
1613381783.139603,180224,6.0
1613382113.9379659,182272,6.0
1613382410.6956303,184320,6.0
1613382769.4011903,186368,6.0
1613383082.9963665,188416,6.0
1613383394.4042494,190464,6.0
1613383681.7720704,192512,6.0
1613383925.9111571,194560,6.0
1613384221.8384602,196608,6.0
1613384512.8715055,198656,6.0
1613384844.4275134,200704,6.0
1613385095.650092,202752,6.0
1613385437.0363367,204800,6.0
1613385785.5874724,206848,6.0
1613386005.6655993,208896,6.0
1613386219.8843234,210944,6.0
1613386485.1147356,212992,6.0
1613386851.4891193,215040,6.0
1613387170.69158,217088,6.0
1613387382.1805959,219136,6.0
1613387633.0019348,221184,6.0
1613387997.0842311,223232,6.0
1613388314.3318548,225280,6.0
1613388659.7125528,227328,6.0
1613388942.4320917,229376,6.0
1613389276.5863476,231424,6.0
1613389590.9725926,233472,6.0
1613389964.18837,235520,6.0
1613390306.975664,237568,6.0
1613390626.8893497,239616,6.0
1613390926.0267313,241664,6.0
1613391238.7371008,243712,6.0
1613391545.492665,245760,6.0
1613391968.216981,247808,6.0
1613392387.5438895,249856,6.0
1613392784.7380466,251904,6.0
1613393017.2929697,253952,6.0
1613393453.624121,256000,6.0
1613393810.9267313,258048,6.0
1613394044.7629838,260096,6.0
1613394385.809442,262144,6.0
1613394761.9922001,264192,6.0
1613395100.0842679,266240,6.0
1613395429.0224493,268288,6.0
1613395708.0345387,270336,6.0
1613395973.2382836,272384,6.0
1613396351.0603948,274432,6.0
1613396755.4160109,276480,6.0
